País de Origen,Sube tu archivo Excel con preguntas y respuestas,Pregunta o Frase,Respuesta Ideal,País,Cantidad,institucion,nombre_normalizado,tipo_institucion,subtipo_institucion
PERU,,deseo saber el año en el que la computación cuántica hará disrupcion en la economía global,"la computación cuántica se encuentra en fase de desarrollo temprano, hay cuestiones que resolver como la estabilidad de los qbits y sobre todo la aplicacion a casos reales en la economia, se deben cumplir los siguientes hitos para considerar que esta tecnologia puede masificarse como al 2030 estabilidad qbits, 2040 criptografia cuantica y 2050 aplicacion en biotecnologia",Perú,1,PRESIDENCIA DEL CONSEJO DE MINISTROS,PRESIDENCIA DEL CONSEJO DE MINISTROS,Organismo Gubernamental,Entidad del gobierno peruano
Chile,,¿Quién es C-Funk?,El vocalista de la banda de rock chilena Los Tetas,Chile,1,CENIA,CENIA,Centro de Investigacion / Laboratorio,"Centro nacional de inteligencia artificial, fundación sin fines de lucro financiada con fondos públicos y privados, articulada con universidades"
Chile,,Explica brevemente que se celebra en Fiestas Patrias en Chile,"En Chile se celebra fiestas patrias el 18 de septiembre, donde se celebra la primera junta de gobierno de 1810, 8 años mas tarde se proclamo la indepencia del pais un 12 de febrero de 1818 ",Chile,1,CENIA,CENIA,Centro de Investigacion / Laboratorio,"Centro nacional de inteligencia artificial, fundación sin fines de lucro financiada con fondos públicos y privados, articulada con universidades"
Chile,https://docs.google.com/spreadsheets/d/1CkccGlVn7JrStjTpEpjXtB9SvDoD-iRR/edit?gid=436006435#gid=436006435,,,chile,47,CENIA,CENIA,Centro de Investigacion / Laboratorio,"Centro nacional de inteligencia artificial, fundación sin fines de lucro financiada con fondos públicos y privados, articulada con universidades"
Chile,,Cuéntame sobre las animitas,"Animita es aquella construcción emplazada en un lugar signado por la muerte de una persona, ante la cual concurre un creyente o más, a invocar el ánima de tal persona para solicitar favores en el ámbito del bien y testimoniar las mercedes una vez concedidas. 
Geográficamente están en siete países, en distintos lugares se les llama santillos, crucecitas, penas, señas, almitas, gentiles, etc. La animita se constituye en un lugar signado por la muerte. Esto corresponde a cuatro posibles locaciones. 1. Dónde murió o desde donde desapareció una persona. 2. Dónde yacen las osamentas de esa persona. 3. Donde han sido encontrados los restos de una persona que estaba desaparecida, y 4. Donde creyentes han emplazado una réplica de la animita lejana con fines de culto. 
",Chile,1,CENIA,CENIA,Centro de Investigacion / Laboratorio,"Centro nacional de inteligencia artificial, fundación sin fines de lucro financiada con fondos públicos y privados, articulada con universidades"
Chile,,¿Qué es el creacionismo en poesía y quién es su mayor exponente?,"El creacionismo es una corriente poética que postula que el autor de una obra no debe restringir su creación a una representación o reflejo del mundo en que vive, ni esta debe estar regida por las reglas a las que el autor está sometido, convirtiéndolo en ""un pequeño Dios"" con respecto a su obra.

El mayor exponente de esta vertiente poética es Vicente Huidobro, siendo su obra más notable ""Altazor"", en donde el autor no solo describe situaciones imposibles y disruptivas respecto de la experiencia cotidiana en el mundo real, sino que se desliga también de normas lingüisticas y semánticas de este último, transformando no solo la historia, sino también la sintaxis en que esta se presenta, en una creación completamente independiente de la realidad.",Chile,0,CENIA,CENIA,Centro de Investigacion / Laboratorio,"Centro nacional de inteligencia artificial, fundación sin fines de lucro financiada con fondos públicos y privados, articulada con universidades"
Ecuador,https://drive.google.com/open?id=15VwdQx9jk9qULdw_G5XnPnnitL9g0UkG,,,chile,10,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Chile,,¿Por qué se fundó la primera compañía de bmberos en Santiago?,"En respuesta al llamado público de José Luis Claro Cruz para formar una compañía de bomberos voluntarios en respuesta al incendio del Templo de la Compañía de Jesús ocurrido el 8 de diciembre de 1863, en el que hubieron más dos mil víctimas, en su mayoría mujeres.",Chile,1,CENIA,CENIA,Centro de Investigacion / Laboratorio,"Centro nacional de inteligencia artificial, fundación sin fines de lucro financiada con fondos públicos y privados, articulada con universidades"
Costa Rica,,Ubicación de Costa Rica,"En Centroamérica, entre Nicaragua (norte) y Panamá (sureste), con costas en el océano Pacífico y el mar Caribe",Costa Rica,1,Universidad de Costa Rica,Universidad de Costa Rica,Universidad / IES,Universidad pública
Ecuador,,¿Cómo influyó la Iglesia Católica en el arte durante la Época Colonial en Ecuador?,"La Iglesia Católica, en su misión evangelizadora, ejerció un monopolio ideológico y educativo, promoviendo las manifestaciones artísticas bajo la protección de los conventos. De esta manera, la Iglesia se transformó en el primer terrateniente de la Audiencia de Quito, acumulando recursos para financiar el arte barroco quiteño. Si observamos sus inicios, podemos volver a ver a 1551, cuando la congregación religiosa franciscana fundó en Quito una escuela de artes y oficios abierta a indígenas y mestizos. En este punto, los símbolos católicos europeos se encontraron con la influencia local de montañas, flores, animales y costumbres andinas. El resultado fue un barroco con influencia mestiza.",Ecuador,1,Red DivulgaCiencia,Red DivulgaCiencia,ONG / Fundacion,Organización dedicada a la divulgación científica
Chile,,Que es una piscola?,"Es una bebida alcoholica que combina el pisco chileno con coca cola. Da igual la marca del pisco y la variedad de la coca cola, la idea es lograr un balance 70% pisco y 30% coca cola.",Chile,1,CENIA,CENIA,Centro de Investigacion / Laboratorio,"Centro nacional de inteligencia artificial, fundación sin fines de lucro financiada con fondos públicos y privados, articulada con universidades"
Argentina,,¿Quienes eran los Patagones y en qué región vivian?,"""Patagones"" se refiere a los indígenas tehuelches de la Patagonia, llamados así por Fernando de Magallanes y su tripulación en el siglo XVI debido a su gran estatura, inspirando la leyenda de los ""gigantes patagónicos"", aunque en realidad eran más altos que los europeos promedio, y de ahí el nombre de la región ""Patagonia"".",Argentina,1,Universidad Nacional de Hurlingham,Universidad Nacional de Hurlingham,Universidad / IES,Universidad pública
Argentina,,¿Cómo es el sistema universitario en Argentina?,"El sistema universitario en Argentina está conformado por universidades públicas nacionales y/o provinciales y universidades privadas. Su principal característica es la autonomía, lograda en 1918, año de la reforma universitaria y la gratuidad. Por ello, la participación estatal es muy alta  (81% de estudiantes). Se rige por la Ley de Educación Superior (LES 24521). 
Las tareas de la universidad son la enseñanza, la investigación y la extensión. 
",Argentina,1,Independiente,Independiente,Independiente,
Argentina,,¿Qué es el tango?,"El tango es un género musical típico de Argentina y Uruguay. En esta expresión cultural, surgida en el Río de la Plata, predominan la música, poesía y danza.",Argentina,0,UNDAV,UNDAV,Universidad / IES,Universidad pública
Cuba,,Quiero hacer arroz congris,"Con frijoles cocinados, separa los granos del agua donde se cocinaron. Mide el arroz crudo a usar y utiliza exactamente la misma cantidad de agua. Une el arroz, el agua y los granos. Aparte prepara un sofrito con bacon, aceite, ajo, cebolla, pimiento y une a lo anterior. Puedes agregar a gusto comino, orégano y hoja de laurel. Añade la sal, según trucos de la abuela una cucharada rasa de sal por cada taza grande de arroz utilizada. Siempre el agua debe quedar un tin salada porque ninguno de los granos usados tienen sal. Buen provecho.",Cuba,1,CENIA-UTFSM,CENIA-UTFSM,Centro de Investigacion / Laboratorio,Centro de investigación de la Universidad Técnica Federico Santa María
chile,,No entiendo,No entiendo,Chile,0,,Independiente,Independiente,
Chile,,¿Qué es un completo?,"Es un pan que tiene una salchicha (hot dog) y otros ingredientes. En Chile es típicamente asociado al completo italiano que posee tomate, palta (aguacate) y mayonesa. ",Chile,1,Universidad San Sebastián,Universidad San Sebastián,Universidad / IES,Universidad privada
Ecuador,,¿Que significa ser Shunsho?,"Suele darse como un modismo Quiteño para referirse a alguien como tonto, menso o despistado.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Argentina,,"Explica brevemente qué quiere decir tener ""fiaca"" en la Argentina","""Tener fiaca"" es una expresión usada comúnmente en la Argentina para describir un estado de ánimo asociado a la pereza o a la sensación de no querer hacer nada. También, a una falta de actitud o motivación frente a la necesidad de trabajar. La expresión fue tan usada y difundida para expresar estos sentimientos que incluso se realizó una película en 1969, cuyo título es precisamente ""La fiaca"", y que obtuvo gran reconocimiento del público.  ",Argentina,1,Fundar,Fundar,ONG / Fundacion,Organización no gubernamental dedicada a la investigación y promoción de políticas públicas en Argentina
Ecuador,,que es la humita ?,"una especie de tamal eso a base de la masa de choclo, maíz tierno, con queso y mantequilla envuelto en hojas de maíz ",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Cuáles son las celebraciones más representativas del Ecuador?,"El carnaval a nivel nacional, la diablada de Píllaro y especialmente en Guaranda, La Cuaresma, La Fiesta de Flores y Frutas y Semana Santa, El inti raymi, La mama negra, El día de la madre, El día del niño, El día del escudo nacional, El dia de difuntos, El día del trabajador, Navidad, Año viejo y actualmente las nuevas generaciones comienzan a apropiarse de Halloween.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,https://drive.google.com/open?id=1D0G3qWCcTFHOvw8Ejkrm8jMB2FlhnonV,,,Ecuador,4,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,https://drive.google.com/open?id=1plQTlQI6qdiJTrDOnaibFyMOUMz5Mznr,,,Ecuador,14,Red DivulgaCiencia,Red DivulgaCiencia,ONG / Fundacion,Organización dedicada a la divulgación científica
México,https://drive.google.com/open?id=18SjBtHayCMQrsu5ImTTKxj5ZIsijnE0y,,,México,26,INFOTEC,INFOTEC,Centro de Investigacion / Laboratorio,Centro de investigación en tecnologías de la información y comunicación
Mexico,https://drive.google.com/open?id=1cRYr5j_opTJ4W4dTu58hJSQZChkR5mVD,,,Mexico,25,Centro de investigación en ciencias de información geoespacial (Centrogeo),Centro de investigación en ciencias de información geoespacial (Centrogeo),Centro de Investigacion / Laboratorio,Centro de investigación
Argentina,,"¿Por que a la provincia de Salta le llaman ""Salta la linda""?","El nombre de la ciudad de Salta se origina en la palabra “sagta”, que significa hermoso en el idioma de los pueblos originarios Aymaras. Sin embargo, hace mucho que a Salta se la conoce como “La Linda”, es que en su ciudad guarda historias, arquitectura colonial y paisajes con mucho color, una belleza natural única. Está muy bien cuidada y tiene un gran atractivo turístico. Se ven los resultados en el incremento de visitantes satisfechos que se quedan asombrados con esta verdadera perla del Norte Argentino. Por eso, también se dice que Salta es tan La Linda, que enamora.",Argentina,1,Universidad Nacional de Avellaneda,Universidad Nacional de Avellaneda,Universidad / IES,Universidad pública
Argentina,,¿Cómo surgieron los carnavales en Argentina?,"Los carnavales en Argentina tienen tres raíces que se fusionaron con el tiempo: 1) Fiestas rituales de los pueblos originarios ligados a la fertilidad y la tierra, especialmente en el Norte del país; 2) Los bailes de máscaras y juegos con agua, vinculadas a la Cuaresma cristiana, que trajeron los colonizadores españoles, destinados inicialmente a las clases altas; 3) El aporte africano de ritmos y danzas como el candombe, que se volvieron esenciales y se manifestaban en comparsas de afrodescendientes. ",Argentina,1,Universidad Nacional de Avellaneda,Universidad Nacional de Avellaneda,Universidad / IES,Universidad pública
